"","SPCD","State","PLOT","lat","lon","maxASR","Common","Species"
"135","763","IN",8,40.0988395608108,-86.4322396351351,390.943853658537,"chokecherry","Prunus virginiana"
"136","766","IN",40,38.889503562963,-85.5284242962963,391.728894308943,"American plum","Prunus americana"
"137","823","IN",182,41.30307,-85.964111,394.27974036192,"bur oak","Quercus macrocarpa"
"138","920","IN",48,40.1780519139785,-86.0055538924731,390.735948072384,"willow spp.","Salix spp."
"139","951","IN",158,38.6405417647059,-86.2408787058824,394.892715447155,"American basswood","Tilia americana"
"140","972","IN",186,38.4842855882353,-86.2989808823529,395.947211382114,"American elm","Ulmus americana"
"141","975","IN",147,38.4727328709677,-86.3641280322581,395.447056910569,"slippery elm","Ulmus rubra"
"142","68","IL",9018,37.49538,-88.493271,397.901146341463,"eastern redcedar","Juniperus virginiana"
"143","313","IL",221,37.75115635,-89.48096285,395.279756097561,"boxelder maple","Acer negundo"
"144","375","IL",51,39.8494546731707,-89.7626121512195,389.926097560976,"paper birch","Betula papyrifera"
"145","462","IL",229,37.562157,-88.473164,399.315333333333,"hackberry","Celtis occidentalis"
"146","544","IL",233,37.551071,-88.548556,399.041642276423,"green ash","Fraxinus pennsylvanica"
"147","602","IL",229,37.562157,-88.473164,399.315333333333,"black walnut","Juglans nigra"
"148","701","IL",9010,37.4998595714286,-88.5904987857143,398.831097560976,"eastern hophornbeam","Ostrya virginiana"
"149","742","IL",221,37.75115635,-89.48096285,395.279756097561,"eastern cottonwood","Populus deltoides"
"150","763","IL",112,39.685248106383,-89.3176270851064,393.223512195122,"chokecherry","Prunus virginiana"
"151","766","IL",103,38.8887287142857,-89.3499328571429,392.253544715447,"American plum","Prunus americana"
"152","823","IL",9018,37.49538,-88.493271,397.901146341463,"bur oak","Quercus macrocarpa"
"153","921","IL",203,39.6076065207668,-89.5053599840256,394.492699186992,"peachleaf willow","Salix amygdaloides"
"154","951","IL",9002,37.439221030303,-88.5050374848485,395.30562601626,"American basswood","Tilia americana"
"155","972","IL",229,37.562157,-88.473164,399.315333333333,"American elm","Ulmus americana"
"156","975","IL",234,37.540283,-88.688585,398.671406504065,"slippery elm","Ulmus rubra"
"157","68","IA",216,42.8946333454545,-91.6186547939394,398.674707317073,"eastern redcedar","Juniperus virginiana"
"158","122","IA",208,41.7112011684982,-94.533078967033,389.558699186992,"ponderosa pine","Pinus ponderosa"
"159","313","IA",131,42.686493,-91.508632,398.914170731707,"boxelder maple","Acer negundo"
"160","375","IA",65,42.467335,-93.112943,389.336869918699,"paper birch","Betula papyrifera"
"161","462","IA",216,42.8946333454545,-91.6186547939394,398.674707317073,"hackberry","Celtis occidentalis"
"162","544","IA",72,42.4430346821705,-91.6305306589147,395.365,"green ash","Fraxinus pennsylvanica"
"163","602","IA",216,42.8946333454545,-91.6186547939394,398.674707317073,"black walnut","Juglans nigra"
"164","701","IA",216,42.8946333454545,-91.6186547939394,398.674707317073,"eastern hophornbeam","Ostrya virginiana"
"165","742","IA",72,42.4430346821705,-91.6305306589147,395.365,"eastern cottonwood","Populus deltoides"
"166","763","IA",135,42.4856529347826,-91.6880630652174,393.986772357724,"chokecherry","Prunus virginiana"
"167","766","IA",41,43.13594376,-92.49548144,396.349422764228,"American plum","Prunus americana"
"168","823","IA",216,42.8946333454545,-91.6186547939394,398.674707317073,"bur oak","Quercus macrocarpa"
"169","920","IA",202,42.21152796997,-92.479916984985,387.582504065041,"willow spp.","Salix spp."
"170","921","IA",55,41.1077365652174,-95.3741713913044,385.377382113821,"peachleaf willow","Salix amygdaloides"
"171","951","IA",131,42.686493,-91.508632,398.914170731707,"American basswood","Tilia americana"
"172","972","IA",145,43.119878,-91.781083,398.821048780488,"American elm","Ulmus americana"
"173","975","IA",131,42.686493,-91.508632,398.914170731707,"slippery elm","Ulmus rubra"
"174","68","MN",32,46.4062208028846,-95.2711425817308,413.056089430894,"eastern redcedar","Juniperus virginiana"
"175","313","MN",9068,47.9746134090909,-90.9580890454545,428.869472856019,"boxelder maple","Acer negundo"
"176","375","MN",1458,48.021726,-90.131451,466.469811172305,"paper birch","Betula papyrifera"
"177","462","MN",188,46.1359472272727,-94.8624695454545,413.704951219512,"hackberry","Celtis occidentalis"
"178","544","MN",1482,47.9881877070707,-90.537319010101,459.391345397325,"green ash","Fraxinus pennsylvanica"
"179","602","MN",655,46.803888,-96.020692,414.858609756098,"black walnut","Juglans nigra"
"180","701","MN",1085,47.42756128,-91.73063328,429.175235772358,"eastern hophornbeam","Ostrya virginiana"
"181","742","MN",175,46.2341845616438,-95.7380176712329,414.150569105691,"eastern cottonwood","Populus deltoides"
"182","763","MN",9402,48.048446,-90.109401,452.91551534225,"chokecherry","Prunus virginiana"
"183","766","MN",194,46.2533918021978,-95.4613531978022,411.588544715447,"American plum","Prunus americana"
"184","823","MN",1008,47.5279065748031,-91.4718581181102,430.329365853659,"bur oak","Quercus macrocarpa"
"185","920","MN",9258,47.843467,-90.255291,452.844004720692,"willow spp.","Salix spp."
"186","921","MN",9257,47.844194,-90.198516,452.10564122738,"peachleaf willow","Salix amygdaloides"
"187","951","MN",9041,48.0848982727273,-90.2674892597403,445.488630999213,"American basswood","Tilia americana"
"188","972","MN",1159,47.90629858,-90.42307426,454.983540519276,"American elm","Ulmus americana"
"189","975","MN",543,46.864507,-95.74027,414.848130081301,"slippery elm","Ulmus rubra"
