"","SPCD","State","PLOT","lat","lon","maxTC","Common","Species"
"133","701","IN",2007,38.1688775,-86.568807,30.8909756097561,"eastern hophornbeam","Ostrya virginiana"
"134","742","IN",235,38.6674552068966,-86.9542958275862,30.6703147128245,"eastern cottonwood","Populus deltoides"
"135","763","IN",145,39.2935257272727,-86.7336180606061,29.7982533438238,"chokecherry","Prunus virginiana"
"136","766","IN",40,38.889503562963,-85.5284242962963,29.9180881195909,"American plum","Prunus americana"
"137","823","IN",217,38.871833962963,-86.4900934938272,30.119858379229,"bur oak","Quercus macrocarpa"
"138","920","IN",5,39.0903754469697,-86.5921882954545,29.8852321007081,"willow spp.","Salix spp."
"139","951","IN",150,38.6561033666667,-87.2896350666667,30.8876711250983,"American basswood","Tilia americana"
"140","972","IN",150,38.6561033666667,-87.2896350666667,30.8876711250983,"American elm","Ulmus americana"
"141","975","IN",2030,37.987463,-86.647524,30.9622974036192,"slippery elm","Ulmus rubra"
"142","68","IL",122,38.3797096792453,-89.9354107735849,31.8664201416208,"eastern redcedar","Juniperus virginiana"
"143","313","IL",221,37.75115635,-89.48096285,31.9714162077105,"boxelder maple","Acer negundo"
"144","375","IL",51,39.8494546731707,-89.7626121512195,30.3831864673485,"paper birch","Betula papyrifera"
"145","462","IL",224,37.6720521698113,-89.4264659056604,31.9106766325728,"hackberry","Celtis occidentalis"
"146","544","IL",221,37.75115635,-89.48096285,31.9714162077105,"green ash","Fraxinus pennsylvanica"
"147","602","IL",84,38.3485644666667,-89.9937506666667,31.937269866247,"black walnut","Juglans nigra"
"148","701","IL",221,37.75115635,-89.48096285,31.9714162077105,"eastern hophornbeam","Ostrya virginiana"
"149","742","IL",221,37.75115635,-89.48096285,31.9714162077105,"eastern cottonwood","Populus deltoides"
"150","763","IL",27,38.910987696,-89.338283544,31.0600550747443,"chokecherry","Prunus virginiana"
"151","766","IL",103,38.8887287142857,-89.3499328571429,31.099897718332,"American plum","Prunus americana"
"152","823","IL",84,38.3485644666667,-89.9937506666667,31.937269866247,"bur oak","Quercus macrocarpa"
"153","921","IL",203,39.6076065207668,-89.5053599840256,30.4979464988198,"peachleaf willow","Salix amygdaloides"
"154","951","IL",221,37.75115635,-89.48096285,31.9714162077105,"American basswood","Tilia americana"
"155","972","IL",221,37.75115635,-89.48096285,31.9714162077105,"American elm","Ulmus americana"
"156","975","IL",221,37.75115635,-89.48096285,31.9714162077105,"slippery elm","Ulmus rubra"
"157","68","IA",88,40.9220281558442,-92.062709012987,30.3850826121164,"eastern redcedar","Juniperus virginiana"
"158","122","IA",73,41.1666716865672,-93.9014719303483,29.7829897718332,"ponderosa pine","Pinus ponderosa"
"159","313","IA",88,40.9220281558442,-92.062709012987,30.3850826121164,"boxelder maple","Acer negundo"
"160","375","IA",78,41.4043821179245,-92.3058080566038,29.6872541306058,"paper birch","Betula papyrifera"
"161","462","IA",88,40.9220281558442,-92.062709012987,30.3850826121164,"hackberry","Celtis occidentalis"
"162","544","IA",29,40.9123353536585,-92.4656878780488,30.2144453186467,"green ash","Fraxinus pennsylvanica"
"163","602","IA",29,40.9123353536585,-92.4656878780488,30.2144453186467,"black walnut","Juglans nigra"
"164","701","IA",88,40.9220281558442,-92.062709012987,30.3850826121164,"eastern hophornbeam","Ostrya virginiana"
"165","742","IA",222,42.281375,-96.321412,30.367230527144,"eastern cottonwood","Populus deltoides"
"166","763","IA",9,41.6145671742424,-94.1868191856061,29.7118095987411,"chokecherry","Prunus virginiana"
"167","766","IA",17,41.2316540909091,-93.1615300636364,29.9949173878836,"American plum","Prunus americana"
"168","823","IA",88,40.9220281558442,-92.062709012987,30.3850826121164,"bur oak","Quercus macrocarpa"
"169","920","IA",80,41.5151172274143,-93.1067842866044,29.6452478363493,"willow spp.","Salix spp."
"170","921","IA",229,41.421913,-95.642271,30.2145554681353,"peachleaf willow","Salix amygdaloides"
"171","951","IA",88,40.9220281558442,-92.062709012987,30.3850826121164,"American basswood","Tilia americana"
"172","972","IA",88,40.9220281558442,-92.062709012987,30.3850826121164,"American elm","Ulmus americana"
"173","975","IA",29,40.9123353536585,-92.4656878780488,30.2144453186467,"slippery elm","Ulmus rubra"
"174","68","MN",11,44.4317253979592,-92.1685542755102,28.7786860739575,"eastern redcedar","Juniperus virginiana"
"175","313","MN",235,44.867981,-93.022036,28.8869000786782,"boxelder maple","Acer negundo"
"176","375","MN",11,44.4317253979592,-92.1685542755102,28.7786860739575,"paper birch","Betula papyrifera"
"177","462","MN",235,44.867981,-93.022036,28.8869000786782,"hackberry","Celtis occidentalis"
"178","544","MN",235,44.867981,-93.022036,28.8869000786782,"green ash","Fraxinus pennsylvanica"
"179","602","MN",11,44.4317253979592,-92.1685542755102,28.7786860739575,"black walnut","Juglans nigra"
"180","701","MN",11,44.4317253979592,-92.1685542755102,28.7786860739575,"eastern hophornbeam","Ostrya virginiana"
"181","742","MN",269,44.888108,-93.158527,28.7747128245476,"eastern cottonwood","Populus deltoides"
"182","763","MN",279,44.4398894867257,-92.2228233362832,28.773666404406,"chokecherry","Prunus virginiana"
"183","766","MN",336,44.18667156,-93.99783448,28.6542092840283,"American plum","Prunus americana"
"184","823","MN",11,44.4317253979592,-92.1685542755102,28.7786860739575,"bur oak","Quercus macrocarpa"
"185","920","MN",336,44.18667156,-93.99783448,28.6542092840283,"willow spp.","Salix spp."
"186","921","MN",336,44.18667156,-93.99783448,28.6542092840283,"peachleaf willow","Salix amygdaloides"
"187","951","MN",11,44.4317253979592,-92.1685542755102,28.7786860739575,"American basswood","Tilia americana"
"188","972","MN",235,44.867981,-93.022036,28.8869000786782,"American elm","Ulmus americana"
"189","975","MN",11,44.4317253979592,-92.1685542755102,28.7786860739575,"slippery elm","Ulmus rubra"
